"X1","X2","X3","status","formatted_address","index","lat","long","accuracy"
NA,NA,NA,"OK","Zhongyuan, Zhengzhou, Henan, China",1,34.748256,113.61285,"political"
NA,NA,NA,"OK","Erqi, Zhengzhou, Henan, China",2,34.723946,113.640177,"political"
NA,NA,NA,"OK","Guancheng, Zhengzhou, Henan, China",3,34.749845,113.692648,"political"
NA,NA,NA,"OK","Jinshui, Zhengzhou, Henan, China",4,34.800156,113.660554,"political"
NA,NA,NA,"OK","Shangjie, Zhengzhou, Henan, China",5,34.80278,113.308961,"political"
NA,NA,NA,"OK","Huiji, Zhengzhou, Henan, China",6,34.867457,113.6169,"political"
NA,NA,NA,"OK","Zhongmu, Zhengzhou, Henan, China",7,34.718936,113.976254,"political"
NA,NA,NA,"OK","Gongyi, Zhengzhou, Henan, China",8,34.747834,113.022496,"political"
NA,NA,NA,"OK","Xingyang, Zhengzhou, Henan, China",9,34.787375,113.38322,"political"
NA,NA,NA,"OK","Xinmi, Zhengzhou, Henan, China",10,34.539442,113.39089,"political"
NA,NA,NA,"OK","Xinzheng, Zhengzhou, Henan, China",11,34.395562,113.740529,"political"
NA,NA,NA,"OK","Dengfeng, Zhengzhou, Henan, China",12,34.454443,113.050581,"political"
NA,NA,NA,"OK","Longting, Kaifeng, Henan, China",13,34.818622,114.323688,"political"
NA,NA,NA,"OK","Shunhe, Kaifeng, Henan, China",14,34.800458,114.364875,"political"
NA,NA,NA,"OK","Gulou, Kaifeng, Henan, China",15,34.78856,114.348306,"political"
NA,NA,NA,"OK","Yuwangtai, Kaifeng, Henan, China",16,34.777104,114.34817,"political"
NA,NA,NA,"OK","Jin Ming Xi Jie, Longting Qu, Kaifeng Shi, Henan Sheng, China",17,34.7883392,114.2970529,"route"
NA,NA,NA,"OK","Xiangfu, Kaifeng, Henan, China",18,34.756916,114.441285,"political"
NA,NA,NA,"OK","Qixian, Kaifeng, Henan, China",19,34.549174,114.783139,"political"
NA,NA,NA,"OK","Tongxu, Kaifeng, Henan, China",20,34.480433,114.467467,"political"
NA,NA,NA,"OK","Weishi, Kaifeng, Henan, China",21,34.411494,114.193081,"political"
NA,NA,NA,"OK","Lankao, Kaifeng, Henan, China",22,34.822211,114.821348,"political"
NA,NA,NA,"OK","Laocheng, Luoyang, Henan, China",23,34.683646,112.469023,"political"
NA,NA,NA,"OK","Xigong, Luoyang, Henan, China",24,34.6599,112.428413,"political"
NA,NA,NA,"OK","Chanhe, Luoyang, Henan, China",25,34.67985,112.500205,"political"
NA,NA,NA,"OK","Jianxi, Luoyang, Henan, China",26,34.658033,112.395755,"political"
NA,NA,NA,"OK","Jili, Luoyang, Henan, China",27,34.900889,112.589052,"political"
NA,NA,NA,"OK","Luolong, Luoyang, Henan, China",28,34.619404,112.464172,"political"
NA,NA,NA,"OK","Mengjin, Luoyang, Henan, China",29,34.825306,112.445252,"political"
NA,NA,NA,"OK","Xin'an, Luoyang, Henan, China",30,34.728584,112.132488,"political"
NA,NA,NA,"OK","Luanchuan, Luoyang, Henan, China",31,33.785698,111.615768,"political"
NA,NA,NA,"OK","Songxian, Luoyang, Henan, China",32,34.134516,112.085634,"political"
NA,NA,NA,"OK","Ruyang, Luoyang, Henan, China",33,34.153939,112.473139,"political"
NA,NA,NA,"OK","Yiyang, Luoyang, Henan, China",34,34.514644,112.179238,"political"
NA,NA,NA,"OK","Luoning, Luoyang, Henan, China",35,34.389414,111.653039,"political"
NA,NA,NA,"OK","Yichuan, Luoyang, Henan, China",36,34.421459,112.425651,"political"
NA,NA,NA,"OK","Yanshi, Luoyang, Henan, China",37,34.72722,112.789534,"political"
NA,NA,NA,"OK","Xinhua, Pingdingshan, Henan, China",38,33.737251,113.293977,"political"
NA,NA,NA,"OK","Weidong, Pingdingshan, Henan, China",39,33.734706,113.335192,"political"
NA,NA,NA,"OK","Shilong, Pingdingshan, Henan, China",40,33.898713,112.898818,"political"
NA,NA,NA,"OK","Zhanhe, Pingdingshan, Henan, China",41,33.725681,113.320873,"political"
NA,NA,NA,"OK","Baofeng, Pingdingshan, Henan, China",42,33.868434,113.054801,"political"
NA,NA,NA,"OK","Yexian, Pingdingshan, Henan, China",43,33.626731,113.357239,"political"
NA,NA,NA,"OK","Lushan, Pingdingshan, Henan, China",44,33.738293,112.908202,"political"
NA,NA,NA,"OK","Jiaxian, Pingdingshan, Henan, China",45,33.971787,113.212609,"political"
NA,NA,NA,"OK","Wugang, Pingdingshan, Henan, China",46,33.307776,113.524794,"political"
NA,NA,NA,"OK","Ruzhou, Pingdingshan, Henan, China",47,34.167029,112.844517,"political"
NA,NA,NA,"OK","Wenfeng, Anyang, Henan, China",48,36.090468,114.357082,"political"
NA,NA,NA,"OK","Beiguan, Anyang, Henan, China",49,36.10766,114.355742,"political"
NA,NA,NA,"OK","Yindu, Anyang, Henan, China",50,36.10989,114.303553,"political"
NA,NA,NA,"OK","Long'an, Anyang, Henan, China",51,36.076225,114.301331,"political"
NA,NA,NA,"OK","Anyang, Henan, China",52,36.097577,114.392392,"locality"
NA,NA,NA,"OK","Tangyin, Anyang, Henan, China",53,35.924514,114.357763,"political"
NA,NA,NA,"OK","Huaxian, Anyang, Henan, China",54,35.575417,114.519311,"political"
NA,NA,NA,"OK","Neihuang, Anyang, Henan, China",55,35.971704,114.901452,"political"
NA,NA,NA,"OK","Linzhou, Anyang, Henan, China",56,36.083046,113.820129,"political"
NA,NA,NA,"OK","Heshan, Hebi, Henan, China",57,35.954611,114.163258,"political"
NA,NA,NA,"OK","Shancheng, Hebi, Henan, China",58,35.897702,114.184427,"political"
NA,NA,NA,"OK","Qibin, Hebi, Henan, China",59,35.741296,114.298693,"political"
NA,NA,NA,"OK","Xunxian, Hebi, Henan, China",60,35.67636,114.55091,"political"
NA,NA,NA,"OK","Qixian, Hebi, Henan, China",61,35.607762,114.197651,"political"
NA,NA,NA,"OK","Hongqi, Xinxiang, Henan, China",62,35.30385,113.875245,"political"
NA,NA,NA,"OK","Weibin, Xinxiang, Henan, China",63,35.301992,113.865663,"political"
NA,NA,NA,"OK","Fengquan, Xinxiang, Henan, China",64,35.383978,113.915184,"political"
NA,NA,NA,"OK","Muye, Xinxiang, Henan, China",65,35.315039,113.908772,"political"
NA,NA,NA,"OK","Xinxiang, Henan, China",66,35.303704,113.926763,"locality"
NA,NA,NA,"OK","Huojia, Xinxiang, Henan, China",67,35.259808,113.657433,"political"
NA,NA,NA,"OK","Yuanyang, Xinxiang, Henan, China",68,35.052761,113.967907,"political"
NA,NA,NA,"OK","Yanjin, Xinxiang, Henan, China",69,35.141889,114.20509,"political"
NA,NA,NA,"OK","Fengqiu, Xinxiang, Henan, China",70,35.041198,114.418882,"political"
NA,NA,NA,"OK","Changyuan, Xinxiang, Henan, China",71,35.201548,114.668936,"political"
NA,NA,NA,"OK","Weihui, Xinxiang, Henan, China",72,35.398494,114.064907,"political"
NA,NA,NA,"OK","Huixian, Xinxiang, Henan, China",73,35.462312,113.805468,"political"
NA,NA,NA,"OK","Jiefang, Jiaozuo, Henan, China",74,35.240282,113.230817,"political"
NA,NA,NA,"OK","Zhongzhan, Jiaozuo, Henan, China",75,35.236819,113.182946,"political"
NA,NA,NA,"OK","Macun, Jiaozuo, Henan, China",76,35.256108,113.322332,"political"
NA,NA,NA,"OK","Shanyang, Jiaozuo, Henan, China",77,35.214507,113.254881,"political"
NA,NA,NA,"OK","Xiuwu, Jiaozuo, Henan, China",78,35.223514,113.447755,"political"
NA,NA,NA,"OK","Bo'ai, Jiaozuo, Henan, China",79,35.171045,113.064379,"political"
NA,NA,NA,"OK","Wuzhi, Jiaozuo, Henan, China",80,35.099378,113.401679,"political"
NA,NA,NA,"OK","Wenxian, Jiaozuo, Henan, China",81,34.940189,113.08053,"political"
NA,NA,NA,"OK","Qinyang, Jiaozuo, Henan, China",82,35.087539,112.950716,"political"
NA,NA,NA,"OK","Mengzhou, Jiaozuo, Henan, China",83,34.907315,112.791401,"political"
NA,NA,NA,"OK","Hualong, Puyang, Henan, China",84,35.777346,115.074151,"political"
NA,NA,NA,"OK","Qingfeng, Puyang, Henan, China",85,35.88518,115.104389,"political"
NA,NA,NA,"OK","Nanle, Puyang, Henan, China",86,36.069602,115.20474,"political"
